timestamp,tweets_count,usernames_count,likes_sum,replies_sum,retweets_sum,compound_score_sum,positive_score_sum,negative_score_sum,neutral_score_sum,likes_mean,replies_mean,retweets_mean,compound_score_mean,positive_score_mean,negative_score_mean,neutral_score_mean
1611986400,1245,1245,8649,1461,1196,99.1236,117.568,82.668,1206.771,6.1471215351812365,1.0383795309168444,0.8500355366027008,0.0704503198294243,0.08355934612651031,0.05875479744136461,0.8576908315565032
1611990000,1012,1012,51852,2048,2652,105.5624,99.145,63.42,994.45,44.81590319792567,1.77009507346586,2.292134831460674,0.091238029386344,0.0856914433880726,0.05481417458945549,0.8595073465859983
1611993600,757,757,2341,362,284,62.9899,72.003,49.312,757.682,2.6632536973833902,0.4118316268486917,0.323094425483504,0.0716608646188851,0.08191467576791808,0.05610011376564277,0.8619817974971559
1611997200,584,584,2901,1316,1317,60.7601,61.338,32.659,600.003,4.1801152737752165,1.8962536023054755,1.8976945244956773,0.08755057636887609,0.08838328530259366,0.04705907780979827,0.8645576368876081
1612000800,658,658,2140,297,351,83.5891,68.194,32.49,645.306,2.868632707774799,0.39812332439678283,0.47050938337801607,0.11204973190348526,0.09141286863270778,0.04355227882037534,0.8650214477211797
1612004400,517,517,2227,326,367,63.515,52.508,30.177,519.316,3.6993355481727574,0.5415282392026578,0.6096345514950167,0.10550664451827242,0.08722259136212625,0.050127906976744185,0.8626511627906978
1612008000,627,627,7525,387,547,-1.3813,53.086,40.071,640.85,10.252043596730244,0.5272479564032697,0.7452316076294278,-0.0018818801089918256,0.07232425068119891,0.05459264305177111,0.8730926430517711
1612011600,712,712,4420,587,688,32.8312,62.85,44.318,751.821,5.145518044237486,0.6833527357392316,0.8009313154831199,0.03822025611175786,0.07316647264260769,0.051592549476135036,0.8752281722933644
1612015200,894,894,4808,986,1352,99.3925,88.248,49.787,941.967,4.451851851851852,0.912962962962963,1.2518518518518518,0.0920300925925926,0.08171111111111111,0.04609907407407407,0.8721916666666667
1612018800,962,962,3437,531,513,67.4309,91.908,64.524,993.576,2.988695652173913,0.4617391304347826,0.44608695652173913,0.0586355652173913,0.07992,0.056107826086956525,0.8639791304347826
1612022400,1171,1171,7071,911,1048,99.5638,120.533,76.834,1155.636,5.226164079822617,0.6733185513673319,0.7745750184774575,0.07358743532889875,0.08908573540280858,0.05678787878787879,0.8541286031042128
1612026000,1519,1519,7025,1140,1138,93.0648,148.111,112.359,1405.543,4.216686674669868,0.6842737094837935,0.6830732292917167,0.05586122448979592,0.08890216086434573,0.06744237695078031,0.8436632653061223
